article_id,article_version,url_type_id,url_id,"url","url_name",sort_order,last_updated,"url_description"
52841,3,4,4,"http://","",4,2016-09-22 21:24:08.940000000,""
52842,17,1,1,"http://","",1,2023-11-17 21:52:18.360000000,""
52842,17,2,2,"http://","",2,2023-11-17 21:52:18.360000000,""
52842,17,3,3,"http://","",3,2023-11-17 21:52:18.363000000,""
52842,17,4,4,"http://","",4,2023-11-17 21:52:18.367000000,""
52845,7,1,1,"http://","",1,2023-10-06 15:24:41.663000000,""
52845,7,2,2,"http://","",2,2023-10-06 15:24:41.667000000,""
52845,7,3,3,"http://","",3,2023-10-06 15:24:41.667000000,""
52845,7,4,4,"http://","",4,2023-10-06 15:24:41.670000000,""
52848,41,1,1,"http://","",1,2025-09-17 15:57:58.197000000,""
52848,41,2,2,"http://","",2,2025-09-17 15:57:58.213000000,""
52848,41,3,3,"http://","",3,2025-09-17 15:57:58.220000000,""
52848,41,4,4,"https://www.accessdata.fda.gov/scripts/cder/daf/","FDA Web site",4,2025-09-17 15:57:58.230000000,""
52849,35,1,1,"http://","",1,2023-12-21 15:24:40.873000000,""
52849,35,2,2,"http://","",2,2023-12-21 15:24:40.877000000,""
52849,35,3,3,"http://","",3,2023-12-21 15:24:40.880000000,""
52849,35,4,4,"http://","",4,2023-12-21 15:24:40.880000000,""
52850,50,1,1,"http://","",1,2024-12-19 16:01:44.043000000,""
52850,50,2,2,"http://","",2,2024-12-19 16:01:44.050000000,""
52850,50,3,3,"http://","",3,2024-12-19 16:01:44.053000000,""
52850,50,4,4,"http://","",4,2024-12-19 16:01:44.057000000,""
52855,30,1,1,"http://","",1,2024-01-04 13:46:54.127000000,""
52855,30,2,2,"http://","",2,2024-01-04 13:46:54.130000000,""
52855,30,3,3,"http://","",3,2024-01-04 13:46:54.130000000,""
52855,30,4,4,"http://","",4,2024-01-04 13:46:54.133000000,""
52863,55,1,1,"http://","",1,2024-09-19 20:56:12.687000000,""
52863,55,2,2,"http://","",2,2024-09-19 20:56:12.690000000,""
52863,55,3,3,"http://","",3,2024-09-19 20:56:12.690000000,""
52863,55,4,4,"http://","",4,2024-09-19 20:56:12.693000000,""
52866,34,1,1,"http://","",1,2024-12-19 16:04:28.550000000,""
52866,34,2,2,"http://","",2,2024-12-19 16:04:28.557000000,""
52866,34,3,3,"http://","",3,2024-12-19 16:04:28.563000000,""
52866,34,4,4,"http://","",4,2024-12-19 16:04:28.567000000,""
52868,45,1,1,"http://","",1,2024-12-19 12:58:08.203000000,""
52868,45,2,2,"http://","",2,2024-12-19 12:58:08.207000000,""
52868,45,3,3,"http://","",3,2024-12-19 12:58:08.227000000,""
52868,45,4,4,"http://","",4,2024-12-19 12:58:08.233000000,""
